questionid,uniquequestionid_initial,uniquequestionid_mid,uniquequestionid_end,response_location_initial,response_location_mid,response_location_end,surveyid_initial,surveyid_mid,surveyid_end,superquestion_wording_initial,superquestion_wording_mid,superquestion_wording_end,question_wording_initial,question_wording_mid,question_wording_end,attribution
aquarium,,aquarium_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Aquariums,,"ARCC-Water Survey, 2011"
aware_energyuse_7a,aware_energyuse_7a_initial,aware_energyuse_7a_mid,aware_energyuse_7a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,,,,Do you have an idea of how much energy is used in your home?,Do you have an idea of how much energy is used in your home?,Do you have an idea of how much energy is used in your home?,No attribution
bath,,bath_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Baths,,"ARCC-Water Survey, 2011"
bathroom_sink,,bathroom_sink_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Bathroom sink(s),,"ARCC-Water Survey, 2011"
bicycle,,bicycle_mid,,,survey_responses,,,primary_web_mid,,,"How many vehicles are owned, or available to the household? <div>(include company vehicles, if they're available for private use).</div>",,,Bicycles,,"English Housing Survey, 2013-2014, question IfCarNew"
boiler,,boiler_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Gas boiler,,"ARCC-Water Survey, 2011"
build_era,build_era,,,home,,,primary_facetoface_initial,,,,,,"When was this property built?<div>[If the participant is unsure but you feel you know (from the building structure, or because you saw the date written on the outside of the building!), then enter what you believe it to be. In any case code your own estimate rather than leaving blank.</div><div>For converted properties record when built, not when converted.]</div>",,,"English Housing Survey, 2013-2014, question YrBult1"
buyappliances_brand_4b,buyappliances_brand_4b_initial,,,survey_responses,,,all_inapp_initial,,,"When you buy a new electrical appliance, like a TV, fridge, or computer, how important are each of the following things when you decide which model to buy?",,,Brand name.,,,No attribution
buyappliances_energyeffic_4b,buyappliances_energyeffic_4b_initial,,,survey_responses,,,all_inapp_initial,,,"When you buy a new electrical appliance, like a TV, fridge, or computer, how important are each of the following things when you decide which model to buy?",,,Energy efficiency.,,,No attribution
buyappliances_env_4b,buyappliances_env_4b_initial,,,survey_responses,,,all_inapp_initial,,,"When you buy a new electrical appliance, like a TV, fridge, or computer, how important are each of the following things when you decide which model to buy?",,,"Other environmental criteria (such as being made from responsibly sourced materials, or with clean production methods).",,,No attribution
buyappliances_features_4b,buyappliances_features_4b_initial,,,survey_responses,,,all_inapp_initial,,,"When you buy a new electrical appliance, like a TV, fridge, or computer, how important are each of the following things when you decide which model to buy?",,,Its features compared to other models.,,,No attribution
buyappliances_price_4b,buyappliances_price_4b_initial,,,survey_responses,,,all_inapp_initial,,,"When you buy a new electrical appliance, like a TV, fridge, or computer, how important are each of the following things when you decide which model to buy?",,,Its price compared to other models.,,,No attribution
buyappliances_reviews_4b,buyappliances_reviews_4b_initial,,,survey_responses,,,all_inapp_initial,,,"When you buy a new electrical appliance, like a TV, fridge, or computer, how important are each of the following things when you decide which model to buy?",,,Reviews you've read by professional reviewers and/or people who've bought the product.,,,No attribution
buyappliances_sociallyethical_4b,buyappliances_sociallyethical_4b_initial,,,survey_responses,,,all_inapp_initial,,,"When you buy a new electrical appliance, like a TV, fridge, or computer, how important are each of the following things when you decide which model to buy?",,,"Socially ethical production (such as fair trade, or good workers' conditions).",,,No attribution
central_heating_thermostat,,central_heating_thermostat_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Central heating thermostat,,"ARCC-Water Survey, 2011"
comfortable_temp_1e,,,comfortable_temp_1e_end,,,survey_responses,,,all_web_end,,,To what extent do you agree with the following statements?,,,I can easily keep at a comfortable temperature at home on cold days,"Wynford Survey, 2012"
computer,computer,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,m. Desktop computers,,,"ARCC-Water Survey, 2011"
cooker,,cooker_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,"Cookers, ovens, hobs",,"ARCC-Water Survey, 2011"
damp_probs_1d,,,damp_probs_1d_end,,,survey_responses,,,all_web_end,,,To what extent do you agree with the following statements?,,,My home has damp problems in more than one room,"Wynford Survey, 2012"
dehumidifier,dehumidifier,dehumidifier_mid,,other_appliance,survey_responses,,primary_facetoface_initial,primary_web_mid,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,e. Dehumidifier,Dehumidifiers,,"ARCC-Water Survey, 2011"
dishwasher,,dishwasher_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Dishwashers,,"ARCC-Water Survey, 2011"
education,education,education,,person,person,,primary_facetoface_initial,primary_web_mid,,"[N/A] OR What are their highest levels of educational qualification? Please include any work-based training. For foreign and other qualifications, please select the nearest equivalent from the list whereever possible. [Show card edu_qual_B] ","What are their highest levels of educational qualification? </div>(include any work-based training. For foreign and other qualifications, choose the nearest equivalent from the list whereever possible)</div>",,"What is your highest level of educational qualification? Please include any work-based training. For foreign and other qualifications, please select the nearest equivalent from the list whereever possible. [Show card edu_qual] OR [Person's name]",[Person's name],,"English Housing Survey, 2013-2014, question HighEd1; Living Costs and Food Survey, 2011. Volume B: Household Questionnaire, question HIGHED1"
effectivepractices_7c,effectivepractices_7c_initial,effectivepractices_7c_mid,effectivepractices_7c_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,,,,Do you have an idea of convenient ways to minimise the amount of energy you use in your home?,Do you have an idea of convenient ways to minimise the amount of energy you use in your home?,Do you have an idea of convenient ways to minimise the amount of energy you use in your home?,No attribution
elec_heater,,elec_heater_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Electric heaters,,"ARCC-Water Survey, 2011"
elec_shower,,elec_shower_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Electric showers,,"ARCC-Water Survey, 2011"
electric_blanket,electric_blanket,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,j. Electric blankets,,,"ARCC-Water Survey, 2011"
electric_fan,electric_fan,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,k. Portable electric fans,,,"ARCC-Water Survey, 2011"
electric_heater,electric_heater,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,h. Portable electric heaters (e.g. fan heaters),,,"ARCC-Water Survey, 2011"
energytype_electricity,,energytype_electricity,energytype_electricity,,meterreadings,meterreadings,,all_inapp_meters_mid,all_web_end,,,"Finally, it would really help us to calibrate our sensor data if you could give us your current electricity and gas meter readings.  <div><br></div><div>For both, write the numbers you see on your meter from left to right in the boxes below. Please,<div><strong>include</strong> any initial zeros</div><div><strong>exclude</strong> numbers after the decimal point or in red.</div></div><div><br></div><div>You can write in extra comments below too. For example, if the meter readings are not from right now, please let us know by entering the date and time each was taken.  </div>",,"Please enter your ELECTRICITY meter reading below (include any initial zeros from the display, and exclude numbers after the decimal point or in red). Then tap the 'Submit' button.",<strong>ELECTRICITY meter reading</strong>,"Wynford Survey, 2012"
energytype_gas,,energytype_gas,energytype_gas,,meterreadings,meterreadings,,all_inapp_meters_mid,all_web_end,,,"Finally, it would really help us to calibrate our sensor data if you could give us your current electricity and gas meter readings.  <div><br></div><div>For both, write the numbers you see on your meter from left to right in the boxes below. Please,<div><strong>include</strong> any initial zeros</div><div><strong>exclude</strong> numbers after the decimal point or in red.</div></div><div><br></div><div>You can write in extra comments below too. For example, if the meter readings are not from right now, please let us know by entering the date and time each was taken.  </div>",,"Please enter your GAS meter reading below (include any initial zeros from the display, and exclude numbers after the decimal point or in red). Then tap the 'Submit' button.",<strong>GAS meter reading</strong>,"Wynford Survey, 2012"
entry_floor,entry_floor,,,home,,,primary_facetoface_initial,,,,,,"<b>[Installer: select the floor the entrance door to the home is on if you are certain, otherwise read:]  </b>Could you confirm what floor the entrance door to your home is on? Count
the standard British way, with the ground floor being the name of the one at
street level.<br>[<i>Prompt if required:</i> This is referring to the entry door to your home, not the
entry door to the building in, for example, blocks of flats with shared
stairwells.]",,,No attribution
extra_clothes_avoid_2g,,,extra_clothes_avoid_2g_end,,,survey_responses,,,all_web_end,,,To what extent do you agree with the following statements?,,,I prefer to wear light clothes in my home even in winter,"Wynford Survey, 2012"
extra_clothes_choice_2g,,,extra_clothes_choice_2g_end,,,survey_responses,,,all_web_end,,,To what extent do you agree with the following statements?,,,I choose to wear extra clothes to keep warm in my home,"Wynford Survey, 2012"
extra_clothes_need_2g,,,extra_clothes_need_2g_end,,,survey_responses,,,all_web_end,,,To what extent do you agree with the following statements?,,,I have to wear extra clothes to keep warm in my home,"Wynford Survey, 2012"
finances_energy_1d,,,finances_energy_1d_end,,,survey_responses,,,all_web_end,,,To what extent do you agree with the following statements?,,,I am happy with my energy bills,"Wynford Survey, 2012"
finances_managing_1d,finances_managing_1d_initial,finances_managing_1d_mid,,survey_responses,survey_responses,,primary_facetoface_initial,primary_web_mid,,,,,"Taking everything together, how well would you say you [and your household] are managing financially these days? Would you say you areÃ¢ÂÂ¦<br><b>
[Show card man_financial]</b>","Taking everything together, how well would you say you (and your household) are managing financially these days? Would you say you areÃ¢ÂÂ¦",,"Wynford Survey, 2012;  Understanding Society, Wave 6, 2014-15"
fridge_freezer,,fridge_freezer_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,"Fridges, freezers, and fridge-freezers",,"ARCC-Water Survey, 2011"
gas_heater,gas_heater,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,i. Portable gas heaters,,,"ARCC-Water Survey, 2011"
gas_shower,,gas_shower_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Boiler-heated showers,,"ARCC-Water Survey, 2011"
gender,gender,gender,,person,person,,primary_facetoface_initial,primary_web_mid,,[N/A] OR What are their genders?,What are their genders?,,[Insert gender] OR [Person's name],[Person's name],,"ARCC-Water Survey, 2011; Wynford Survey, 2012"
hhdynam_energy_saving_6a,,,hhdynam_energy_saving_6a_end,,,survey_responses,,,all_web_end,,,,,,"And thinking about the others in your home, would you say that on the whole you all agree or disagree how important it is to use as little energy as possible?<div>(Leave blank if you live alone)</div>",No attribution
highest_earner,highest_earner,,,person,,,primary_facetoface_initial,,,,,,"Which of you and those living with you currently has the highest income from earnings, benefits, pensions and any other sources?",,,"English Housing Survey, 2013-2014, question HiHNum"
humidifier,humidifier,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,d. Humidifier,,,"ARCC-Water Survey, 2011"
importance_altruism_4b,importance_altruism_4b_initial,importance_altruism_4b_mid,importance_altruism_4b_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,<div>The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy.</div><div><br></div><div>How important are each of these in your day-to-day life at home?</div>,"Doing whats best for others in the household, such as helping them, and fitting in with their routines.","Doing whats best for others in the household, such as helping them, and fitting in with their routines.","Doing whatÃ¢ÂÂs best for others in the household, such as helping them, and fitting in with their routines (leave blank if you live alone)",No attribution
importance_clean_4b,importance_clean_4b_initial,importance_clean_4b_mid,importance_clean_4b_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,<div>The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy.</div><div><br></div><div>How important are each of these in your day-to-day life at home?</div>,"Keeping things clean (appearing clean, sterile, smelling fresh).","Keeping things clean (appearing clean, sterile, smelling fresh).","Keeping things clean (appearing clean, sterile, smelling fresh)",No attribution
importance_comfort_4b,importance_comfort_4b_initial,importance_comfort_4b_mid,importance_comfort_4b_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,<div>The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy.</div><div><br></div><div>How important are each of these in your day-to-day life at home?</div>,"Keeping comfortable (comfortable temperature, comfortable surroundings, avoiding discomfort or pain).","Keeping comfortable (comfortable temperature, comfortable surroundings, avoiding discomfort or pain).","Keeping comfortable (comfortable temperature, comfortable surroundings, avoiding discomfort or pain)",No attribution
importance_convenient_4b,importance_convenient_4b_initial,importance_convenient_4b_mid,importance_convenient_4b_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,<div>The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy.</div><div><br></div><div>How important are each of these in your day-to-day life at home?</div>,"Doing things in a way thats convenient (time saving, low effort).","Doing things in a way thats convenient (time saving, low effort).","Doing things in a way thatÃ¢ÂÂs convenient (time saving, low effort)",No attribution
importance_env_4b,importance_env_4b_initial,importance_env_4b_mid,importance_env_4b_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,<div>The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy.</div><div><br></div><div>How important are each of these in your day-to-day life at home?</div>,Reducing my impact on the environment.,Reducing my impact on the environment.,Reducing my impact on the environment,No attribution
importance_spend_4b,importance_spend_4b_initial,importance_spend_4b_mid,importance_spend_4b_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy. How important are each of these in your day-to-day life at home?,<div>The next questions will help give us an idea about what is important for you when you do day-to-day things at home that use energy.</div><div><br></div><div>How important are each of these in your day-to-day life at home?</div>,Being careful with how much money is spent.,Being careful with how much money is spent.,Being careful with how much money is spent,No attribution
income_band,income_band,income_band_mid,,home,survey_responses,,primary_facetoface_initial,primary_web_mid,,,,,"<b>[Show card hhincome] </b>Looking at this card, could you please tell me the letter that corresponds with your recent gross household income? By gross household income, I mean your household's total income, including the income of everyone in the household, from all sources, before deductions for taxes, National Insurance, pension contributions and union subscriptions, and including money from work, benefits, investments, and any other sources.<div><br></div><div>Use the part of the card that you know best: weekly, monthly or annual gross income. Your best estimate is fine. Just tell me the letter that best matches your income. <b>[Enter single letter from A to Z]</b></div>","<div>If your recent gross household income has changed since you started IDEAL, please enter your income band.</div><div>(gross household income means your household's total income, including the income of everyone in the household, from all sources, before deductions for taxes, National Insurance, pension contributions and union subscriptions, and including money from work, benefits, investments, and any other sources)</div>",,"Third European Quality of Life Survey, 2011-2012, question Q64"
income_change,income_change_initial,,,survey_responses,,,primary_facetoface_initial,,,,,,"And would you say that your household income as a whole has gone up,
stayed the same or gone down compared with a year ago?",,,"Wynford Survey, 2012"
incomeband_certainty,incomeband_certainty_initial,,,survey_responses,,,primary_facetoface_initial,,,,,,"<b>[Show card incomecertainty] </b>And how certain are you of the income band you just told me? Please give a number on a scale from 1 to 7, where 1 is Not at all certain, and 7 is Very certain.",,,"Third European Quality of Life Survey, 2011-2012, question Q62; English Housing Survey, 2013-2014, question GrErnMJA"
iron,iron,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,g. Electric iron,,,"ARCC-Water Survey, 2011"
kettle,,kettle_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Kettles,,"ARCC-Water Survey, 2011"
