uniquequestionid,response_wording
education,GCSE grade D-G or CSE grade 2-5 or Standard Grade level 4-6
education,O Level or GCSE equivalent (Grade A-C) or O Grade/CSE equivalent (Grade 1) or Standard Grade level 1-3
education,ONC / National Level BTEC
education,A-Levels or Highers
education,Higher educational qualification below degree level
education,"Degree level qualification (or equivalent), e.g. BSc, BA, MSc, MA"
education,PhD
education,Other qualifications
education,No formal qualifications
effectivepractices_7c_end,1: No idea
effectivepractices_7c_end,2
effectivepractices_7c_end,3
effectivepractices_7c_end,4: Some idea
effectivepractices_7c_end,5
effectivepractices_7c_end,6
effectivepractices_7c_end,7: A very good idea
effectivepractices_7c_initial,No idea: 1
effectivepractices_7c_initial,2
effectivepractices_7c_initial,3
effectivepractices_7c_initial,Some idea: 4
effectivepractices_7c_initial,5
effectivepractices_7c_initial,6
effectivepractices_7c_initial,A very good idea: 7
effectivepractices_7c_mid,No idea: 1
effectivepractices_7c_mid,2
effectivepractices_7c_mid,3
effectivepractices_7c_mid,Some idea: 4
effectivepractices_7c_mid,5
effectivepractices_7c_mid,6
effectivepractices_7c_mid,A very good idea: 7
elec_heater_mid,Replaced
elec_heater_mid,Got or installed additional
elec_heater_mid,Fallen out of use
elec_shower_mid,Replaced
elec_shower_mid,Got or installed additional
elec_shower_mid,Fallen out of use
electric_blanket,0
electric_blanket,1
electric_blanket,2
electric_blanket,3
electric_blanket,4
electric_blanket,5+
electric_fan,0
electric_fan,1
electric_fan,2
electric_fan,3
electric_fan,4
electric_fan,5+
electric_heater,0
electric_heater,1
electric_heater,2
electric_heater,3
electric_heater,4
electric_heater,5+
entry_floor,Second basement level (level -2)
entry_floor,Basement (level -1)
entry_floor,Ground
entry_floor,1st
entry_floor,2nd
entry_floor,3rd
entry_floor,4th
entry_floor,Other (please specify)
extra_clothes_avoid_2g_end,1: Strongly disagree
extra_clothes_avoid_2g_end,2
extra_clothes_avoid_2g_end,3
extra_clothes_avoid_2g_end,4: Neither agree nor disagree
extra_clothes_avoid_2g_end,5
extra_clothes_avoid_2g_end,6
extra_clothes_avoid_2g_end,7: Strongly agree
extra_clothes_choice_2g_end,1: Strongly disagree
extra_clothes_choice_2g_end,2
extra_clothes_choice_2g_end,3
extra_clothes_choice_2g_end,4: Neither agree nor disagree
extra_clothes_choice_2g_end,5
extra_clothes_choice_2g_end,6
extra_clothes_choice_2g_end,7: Strongly agree
extra_clothes_need_2g_end,1: Strongly disagree
extra_clothes_need_2g_end,2
extra_clothes_need_2g_end,3
extra_clothes_need_2g_end,4: Neither agree nor disagree
extra_clothes_need_2g_end,5
extra_clothes_need_2g_end,6
extra_clothes_need_2g_end,7: Strongly agree
finances_energy_1d_end,1: Strongly disagree
finances_energy_1d_end,2
finances_energy_1d_end,3
finances_energy_1d_end,4: Neither agree nor disagree
finances_energy_1d_end,5
finances_energy_1d_end,6
finances_energy_1d_end,7: Strongly agree
finances_managing_1d_initial,Living comfortably
finances_managing_1d_initial,Doing alright
finances_managing_1d_initial,Just about getting by
finances_managing_1d_initial,Finding it quite difficult
finances_managing_1d_initial,Finding it very difficult
finances_managing_1d_initial,Don't know
finances_managing_1d_initial,Refused
finances_managing_1d_mid,Living comfortably
finances_managing_1d_mid,Doing alright
finances_managing_1d_mid,Just about getting by
finances_managing_1d_mid,Finding it quite difficult
finances_managing_1d_mid,Finding it very difficult
finances_managing_1d_mid,Don't know
fridge_freezer_mid,Replaced
fridge_freezer_mid,Got or installed additional
fridge_freezer_mid,Fallen out of use
gas_heater,0
gas_heater,1
gas_heater,2
gas_heater,3
gas_heater,4
gas_heater,5+
gas_shower_mid,Replaced
gas_shower_mid,Got or installed additional
gas_shower_mid,Fallen out of use
gender,Female
gender,Male
hhdynam_energy_saving_6a_end,1: Strongly disagree
hhdynam_energy_saving_6a_end,2
hhdynam_energy_saving_6a_end,3
hhdynam_energy_saving_6a_end,4: Neither agree nor disagree
hhdynam_energy_saving_6a_end,5
hhdynam_energy_saving_6a_end,6
hhdynam_energy_saving_6a_end,7: Strongly agree
highest_earner,Me (the interviewee)
highest_earner,[Occupant's name]
humidifier,0
humidifier,1
humidifier,2
humidifier,3
humidifier,4
humidifier,5+
importance_altruism_4b_end,1: Not important at all
importance_altruism_4b_end,2
importance_altruism_4b_end,3
importance_altruism_4b_end,4: Somewhat important
importance_altruism_4b_end,5
importance_altruism_4b_end,6
importance_altruism_4b_end,7: Very important
importance_altruism_4b_initial,Not important at all: 1
importance_altruism_4b_initial,2
importance_altruism_4b_initial,3
importance_altruism_4b_initial,Somewhat important: 4
importance_altruism_4b_initial,5
importance_altruism_4b_initial,6
importance_altruism_4b_initial,Somewhat important: 7
importance_altruism_4b_mid,Not important at all: 1
importance_altruism_4b_mid,2
importance_altruism_4b_mid,3
importance_altruism_4b_mid,Somewhat important: 4
importance_altruism_4b_mid,5
importance_altruism_4b_mid,6
importance_altruism_4b_mid,Very important: 7
importance_clean_4b_end,1: Not important at all
importance_clean_4b_end,2
importance_clean_4b_end,3
importance_clean_4b_end,4: Somewhat important
importance_clean_4b_end,5
importance_clean_4b_end,6
importance_clean_4b_end,7: Very important
importance_clean_4b_initial,Not important at all: 1
importance_clean_4b_initial,2
importance_clean_4b_initial,3
importance_clean_4b_initial,Somewhat important: 4
importance_clean_4b_initial,5
importance_clean_4b_initial,6
importance_clean_4b_initial,Somewhat important: 7
importance_clean_4b_mid,Not important at all: 1
importance_clean_4b_mid,2
importance_clean_4b_mid,3
importance_clean_4b_mid,Somewhat important: 4
importance_clean_4b_mid,5
importance_clean_4b_mid,6
importance_clean_4b_mid,Very important: 7
importance_comfort_4b_end,1: Not important at all
importance_comfort_4b_end,2
importance_comfort_4b_end,3
importance_comfort_4b_end,4: Somewhat important
importance_comfort_4b_end,5
importance_comfort_4b_end,6
importance_comfort_4b_end,7: Very important
importance_comfort_4b_initial,Not important at all: 1
importance_comfort_4b_initial,2
importance_comfort_4b_initial,3
importance_comfort_4b_initial,Somewhat important: 4
importance_comfort_4b_initial,5
importance_comfort_4b_initial,6
importance_comfort_4b_initial,Somewhat important: 7
importance_comfort_4b_mid,Not important at all: 1
importance_comfort_4b_mid,2
importance_comfort_4b_mid,3
importance_comfort_4b_mid,Somewhat important: 4
importance_comfort_4b_mid,5
importance_comfort_4b_mid,6
importance_comfort_4b_mid,Very important: 7
importance_convenient_4b_end,1: Not important at all
importance_convenient_4b_end,2
importance_convenient_4b_end,3
importance_convenient_4b_end,4: Somewhat important
importance_convenient_4b_end,5
importance_convenient_4b_end,6
importance_convenient_4b_end,7: Very important
importance_convenient_4b_initial,Not important at all: 1
importance_convenient_4b_initial,2
importance_convenient_4b_initial,3
importance_convenient_4b_initial,Somewhat important: 4
importance_convenient_4b_initial,5
importance_convenient_4b_initial,6
importance_convenient_4b_initial,Somewhat important: 7
importance_convenient_4b_mid,Not important at all: 1
importance_convenient_4b_mid,2
importance_convenient_4b_mid,3
importance_convenient_4b_mid,Somewhat important: 4
importance_convenient_4b_mid,5
importance_convenient_4b_mid,6
importance_convenient_4b_mid,Very important: 7
importance_env_4b_end,1: Not important at all
importance_env_4b_end,2
importance_env_4b_end,3
importance_env_4b_end,4: Somewhat important
importance_env_4b_end,5
importance_env_4b_end,6
importance_env_4b_end,7: Very important
importance_env_4b_initial,Not important at all: 1
importance_env_4b_initial,2
importance_env_4b_initial,3
importance_env_4b_initial,Somewhat important: 4
importance_env_4b_initial,5
importance_env_4b_initial,6
importance_env_4b_initial,Somewhat important: 7
importance_env_4b_mid,Not important at all: 1
importance_env_4b_mid,2
importance_env_4b_mid,3
importance_env_4b_mid,Somewhat important: 4
importance_env_4b_mid,5
importance_env_4b_mid,6
importance_env_4b_mid,Very important: 7
importance_spend_4b_end,1: Not important at all
importance_spend_4b_end,2
importance_spend_4b_end,3
importance_spend_4b_end,4: Somewhat important
importance_spend_4b_end,5
importance_spend_4b_end,6
importance_spend_4b_end,7: Very important
importance_spend_4b_initial,Not important at all: 1
importance_spend_4b_initial,2
importance_spend_4b_initial,3
importance_spend_4b_initial,Somewhat important: 4
importance_spend_4b_initial,5
importance_spend_4b_initial,6
importance_spend_4b_initial,Somewhat important: 7
importance_spend_4b_mid,Not important at all: 1
importance_spend_4b_mid,2
importance_spend_4b_mid,3
importance_spend_4b_mid,Somewhat important: 4
importance_spend_4b_mid,5
importance_spend_4b_mid,6
importance_spend_4b_mid,Very important: 7
income_band,"less than £10,800"
income_band,"£10,800 to £13,499"
income_band,"£13,500 to £16,199"
income_band,"£16,200 to £19,799"
income_band,"£19,800 to £23,399"
income_band,"£23,400 to £26,999"
income_band,"£27,000 to £32,399"
income_band,"£32,400 to £37,799"
income_band,"£37,800 to £43,199"
income_band,"£43,200 to £48,599"
income_band,"£48,600 to £53,999"
income_band,"£54,000 to £65,999"
income_band,"£66,000 to £77,999"
income_band,"£78,000 to £89,999"
income_band,"£90,000 or more"
income_band_mid,"less than £10,800"
income_band_mid,"£10,800 to £13,499"
income_band_mid,"£13,500 to £16,199"
income_band_mid,"£16,200 to £19,799"
income_band_mid,"£19,800 to £23,399"
income_band_mid,"£23,400 to £26,999"
income_band_mid,"£27,000 to £32,399"
income_band_mid,"£32,400 to £37,799"
income_band_mid,"£37,800 to £43,199"
income_band_mid,"£43,200 to £48,599"
income_band_mid,"£48,600 to £53,999"
income_band_mid,"£54,000 to £65,999"
income_band_mid,"£66,000 to £77,999"
income_band_mid,"£78,000 to £89,999"
income_band_mid,"£90,000 or more"
income_change_initial,Gone up
income_change_initial,Stayed the same
income_change_initial,Gone down
incomeband_certainty_initial,1: Not at all certain
incomeband_certainty_initial,2
incomeband_certainty_initial,3
incomeband_certainty_initial,4
incomeband_certainty_initial,5
incomeband_certainty_initial,6
incomeband_certainty_initial,7: Very certain
iron,0
iron,1
iron,2
iron,3
iron,4
iron,5+
kettle_mid,Replaced
kettle_mid,Got or installed additional
kettle_mid,Fallen out of use
kitchen_sink_mid,Replaced
kitchen_sink_mid,Got or installed additional
kitchen_sink_mid,Fallen out of use
laptop,0
laptop,1
laptop,2
laptop,3
laptop,4
laptop,5+
limin_intransition_4b_end,1: Strongly disagree
limin_intransition_4b_end,2
limin_intransition_4b_end,3
limin_intransition_4b_end,4: Neither agree nor disagree
limin_intransition_4b_end,5
limin_intransition_4b_end,6
limin_intransition_4b_end,7: Strongly agree
limin_intransition_4b_initial,Strongly disagree: 1
limin_intransition_4b_initial,2
limin_intransition_4b_initial,3
limin_intransition_4b_initial,Neither agree nor disagree: 4
limin_intransition_4b_initial,5
limin_intransition_4b_initial,6
limin_intransition_4b_initial,Strongly agree: 7
limin_intransition_4b_mid,Strongly disagree: 1
limin_intransition_4b_mid,2
limin_intransition_4b_mid,3
limin_intransition_4b_mid,Neither agree nor disagree: 4
limin_intransition_4b_mid,5
limin_intransition_4b_mid,6
limin_intransition_4b_mid,Strongly agree: 7
limin_littlefreetime_4b_end,1: Strongly disagree
limin_littlefreetime_4b_end,2
limin_littlefreetime_4b_end,3
limin_littlefreetime_4b_end,4: Neither agree nor disagree
limin_littlefreetime_4b_end,5
limin_littlefreetime_4b_end,6
limin_littlefreetime_4b_end,7: Strongly agree
limin_littlefreetime_4b_initial,Strongly disagree: 1
limin_littlefreetime_4b_initial,2
limin_littlefreetime_4b_initial,3
limin_littlefreetime_4b_initial,Neither agree nor disagree: 4
limin_littlefreetime_4b_initial,5
limin_littlefreetime_4b_initial,6
limin_littlefreetime_4b_initial,Strongly agree: 7
limin_littlefreetime_4b_mid,Strongly disagree: 1
limin_littlefreetime_4b_mid,2
limin_littlefreetime_4b_mid,3
limin_littlefreetime_4b_mid,Neither agree nor disagree: 4
limin_littlefreetime_4b_mid,5
limin_littlefreetime_4b_mid,6
limin_littlefreetime_4b_mid,Strongly agree: 7
limin_newactivities_4b_end,1: Strongly disagree
limin_newactivities_4b_end,2
limin_newactivities_4b_end,3
limin_newactivities_4b_end,4: Neither agree nor disagree
limin_newactivities_4b_end,5
limin_newactivities_4b_end,6
limin_newactivities_4b_end,7: Strongly agree
limin_newactivities_4b_initial,Strongly disagree: 1
limin_newactivities_4b_initial,2
limin_newactivities_4b_initial,3
limin_newactivities_4b_initial,Neither agree nor disagree: 4
limin_newactivities_4b_initial,5
limin_newactivities_4b_initial,6
limin_newactivities_4b_initial,Strongly agree: 7
limin_newactivities_4b_mid,Strongly disagree: 1
limin_newactivities_4b_mid,2
limin_newactivities_4b_mid,3
limin_newactivities_4b_mid,Neither agree nor disagree: 4
limin_newactivities_4b_mid,5
limin_newactivities_4b_mid,6
limin_newactivities_4b_mid,Strongly agree: 7
media_entertainment,0
media_entertainment,1
media_entertainment,2
media_entertainment,3
media_entertainment,4
media_entertainment,5+
microwave_mid,Replaced
microwave_mid,Got or installed additional
microwave_mid,Fallen out of use
new_build_year,2002
new_build_year,2003
new_build_year,2004
new_build_year,2005
new_build_year,2006
new_build_year,2007
new_build_year,2008
new_build_year,2009
new_build_year,2010
new_build_year,2011
new_build_year,2012
new_build_year,2013
new_build_year,2014
new_build_year,2015
new_build_year,2016
new_build_year,2017
non_smart_phone,0
non_smart_phone,1
non_smart_phone,2
non_smart_phone,3
non_smart_phone,4
non_smart_phone,5+
occupied_days,0
occupied_days,1
occupied_days,2
occupied_days,3
occupied_days,4
occupied_days,5
occupied_days,6
occupied_days,7
occupied_days_mid,0
occupied_days_mid,1
occupied_days_mid,2
occupied_days_mid,3
occupied_days_mid,4
occupied_days_mid,5
occupied_days_mid,6
occupied_days_mid,7
occupied_nights,0
occupied_nights,1
occupied_nights,2
occupied_nights,3
occupied_nights,4
occupied_nights,5
occupied_nights,6
occupied_nights,7
occupied_nights_mid,0
occupied_nights_mid,1
occupied_nights_mid,2
occupied_nights_mid,3
occupied_nights_mid,4
occupied_nights_mid,5
occupied_nights_mid,6
occupied_nights_mid,7
other_high_power_1,0
other_high_power_1,1
other_high_power_1,2
other_high_power_1,3
other_high_power_1,4
other_high_power_1,5+
other_high_power_2,0
other_high_power_2,1
other_high_power_2,2
other_high_power_2,3
other_high_power_2,4
other_high_power_2,5+
other_high_power_3,0
other_high_power_3,1
other_high_power_3,2
other_high_power_3,3
other_high_power_3,4
other_high_power_3,5+
other_high_power_4,0
other_high_power_4,1
other_high_power_4,2
other_high_power_4,3
other_high_power_4,4
other_high_power_4,5+
outcome_norm_env_1c_end,I'm happy with what I do at the moment to help the environment
outcome_norm_env_1c_end,I'd like to do a bit more to help the environment
outcome_norm_env_1c_end,I'd like to do a lot more to help the environment
outcome_norm_env_1c_initial,I'm happy with what I do at the moment to help the environment
outcome_norm_env_1c_initial,I'd like to do a bit more to help the environment
outcome_norm_env_1c_initial,I'd like to do a lot more to help the environment
outcome_norm_env_1c_mid,I'm happy with what I do at the moment to help the environment
outcome_norm_env_1c_mid,I'd like to do a bit more to help the environment
outcome_norm_env_1c_mid,I'd like to do a lot more to help the environment
outdoor_drying,Yes
outdoor_drying,No
outdoor_drying,Don't know
outdoor_elec_space_heater,0
outdoor_elec_space_heater,1
outdoor_elec_space_heater,2
outdoor_elec_space_heater,3
outdoor_elec_space_heater,4
outdoor_elec_space_heater,5+
outdoor_gas_space_heater,0
outdoor_gas_space_heater,1
outdoor_gas_space_heater,2
outdoor_gas_space_heater,3
outdoor_gas_space_heater,4
outdoor_gas_space_heater,5+
outdoor_hot_tub,0
outdoor_hot_tub,1
outdoor_hot_tub,2
outdoor_hot_tub,3
outdoor_hot_tub,4
outdoor_hot_tub,5+
outdoor_light,0
outdoor_light,1
outdoor_light,2
outdoor_light,3
outdoor_light,4
outdoor_light,5+
outdoor_space,Yes - private
outdoor_space,Yes - shared with neighbours
outdoor_space,No
outdoor_water_feature,0
outdoor_water_feature,1
outdoor_water_feature,2
outdoor_water_feature,3
outdoor_water_feature,4
outdoor_water_feature,5+
overall_satisfaction_1b_end,1: Strongly disagree
overall_satisfaction_1b_end,2
overall_satisfaction_1b_end,3
overall_satisfaction_1b_end,4: Neither agree nor disagree
overall_satisfaction_1b_end,5
overall_satisfaction_1b_end,6
overall_satisfaction_1b_end,7: Strongly agree
overall_satisfaction_1b_initial,Strongly disagree: 1
overall_satisfaction_1b_initial,2
overall_satisfaction_1b_initial,3
overall_satisfaction_1b_initial,Neither agree nor disagree: 4
overall_satisfaction_1b_initial,5
overall_satisfaction_1b_initial,6
overall_satisfaction_1b_initial,Strongly agree: 7
overall_satisfaction_1b_mid,Strongly disagree: 1
overall_satisfaction_1b_mid,2
overall_satisfaction_1b_mid,3
overall_satisfaction_1b_mid,Neither agree nor disagree: 4
overall_satisfaction_1b_mid,5
overall_satisfaction_1b_mid,6
overall_satisfaction_1b_mid,Strongly agree: 7
payless_elec_4b_end,1: Strongly disagree
payless_elec_4b_end,2
payless_elec_4b_end,3
payless_elec_4b_end,4: Neither agree nor disagree
payless_elec_4b_end,5
payless_elec_4b_end,6
payless_elec_4b_end,7: Strongly agree
payless_gas_4b_end,1: Strongly disagree
payless_gas_4b_end,2
payless_gas_4b_end,3
payless_gas_4b_end,4: Neither agree nor disagree
payless_gas_4b_end,5
payless_gas_4b_end,6
payless_gas_4b_end,7: Strongly agree
paymore_renewables_4b_end,1: Strongly disagree
paymore_renewables_4b_end,2
paymore_renewables_4b_end,3
paymore_renewables_4b_end,4: Neither agree nor disagree
paymore_renewables_4b_end,5
paymore_renewables_4b_end,6
paymore_renewables_4b_end,7: Strongly agree
relationtoprimary,"Husband, wife or partner"
relationtoprimary,"Son or daughter, inc. adopted, step, foster and in-law"
relationtoprimary,"Parent, inc. step, foster and in-law"
relationtoprimary,"Brother or sister, inc. adopted, step, foster and in-law"
relationtoprimary,"Grand-child, inc. adopted, step, foster and in-law"
relationtoprimary,"Grand-parent, inc. adopted, step, foster and in-law"
relationtoprimary,Other relative
relationtoprimary,Non-relative
relationtoprimary,Lodger
relationtoprimary,Other unrelated
satis_energy_use_1b_end,I feel I am now doing everything practical to use as little energy as possible at home
satis_energy_use_1b_end,I think there is a bit more I could practically do to use less energy at home
satis_energy_use_1b_end,I think there is a lot more  I could practically do to use less energy at home
saveenergy_4b_end,1: Not important at all
saveenergy_4b_end,2
saveenergy_4b_end,3
saveenergy_4b_end,4: Somewhat important
saveenergy_4b_end,5
saveenergy_4b_end,6
saveenergy_4b_end,7: Very important
saveenergy_4b_initial,Not important at all: 1
saveenergy_4b_initial,2
saveenergy_4b_initial,3
saveenergy_4b_initial,Somewhat important: 4
saveenergy_4b_initial,5
saveenergy_4b_initial,6
saveenergy_4b_initial,Very important: 7
saveenergy_4b_mid,Not important at all: 1
saveenergy_4b_mid,2
saveenergy_4b_mid,3
saveenergy_4b_mid,Somewhat important: 4
saveenergy_4b_mid,5
saveenergy_4b_mid,6
saveenergy_4b_mid,Very important: 7
schwartz_achievement_4a_end,Not at all like me
schwartz_achievement_4a_end,Not like me
schwartz_achievement_4a_end,A little like me
schwartz_achievement_4a_end,Somewhat like me
schwartz_achievement_4a_end,Like me
schwartz_achievement_4a_end,Very much like me
schwartz_achievement_4a_initial,Not at all like me: 1
schwartz_achievement_4a_initial,Not like me: 2
schwartz_achievement_4a_initial,A little like me: 3
schwartz_achievement_4a_initial,Somewhat like me: 4
schwartz_achievement_4a_initial,Like me: 5
schwartz_achievement_4a_initial,Very much like me: 6
schwartz_achievement_4a_mid,Not at all like me: 1
schwartz_achievement_4a_mid,Not like me: 2
schwartz_achievement_4a_mid,A little like me: 3
schwartz_achievement_4a_mid,Somewhat like me: 4
schwartz_achievement_4a_mid,Like me: 5
schwartz_achievement_4a_mid,Very much like me: 6
schwartz_benevolence_nearby_4a_end,Not at all like me
schwartz_benevolence_nearby_4a_end,Not like me
schwartz_benevolence_nearby_4a_end,A little like me
schwartz_benevolence_nearby_4a_end,Somewhat like me
schwartz_benevolence_nearby_4a_end,Like me
schwartz_benevolence_nearby_4a_end,Very much like me
schwartz_benevolence_nearby_4a_initial,Not at all like me: 1
schwartz_benevolence_nearby_4a_initial,Not like me: 2
schwartz_benevolence_nearby_4a_initial,A little like me: 3
schwartz_benevolence_nearby_4a_initial,Somewhat like me: 4
schwartz_benevolence_nearby_4a_initial,Like me: 5
schwartz_benevolence_nearby_4a_initial,Very much like me: 6
schwartz_benevolence_nearby_4a_mid,Not at all like me: 1
schwartz_benevolence_nearby_4a_mid,Not like me: 2
schwartz_benevolence_nearby_4a_mid,A little like me: 3
schwartz_benevolence_nearby_4a_mid,Somewhat like me: 4
